,City,Lat,Lng,Max Temp,Humidity,cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.92,44.6,75,75,5.82,CL,1604023820
1,broome,42.25,-75.83,43.0,93,90,10.29,US,1604023981
2,ucluelet,48.93,-125.55,54.0,93,100,1.99,CA,1604023774
3,upernavik,72.79,-56.15,22.91,97,100,5.03,GL,1604023837
4,ilulissat,69.22,-51.1,19.4,73,69,3.36,GL,1604023816
5,san mateo del mar,16.2,-95.0,80.91,71,100,28.43,MX,1604023982
6,ushuaia,-54.8,-68.3,44.6,70,75,12.75,AR,1604023809
7,vasilika,40.48,23.14,62.01,82,20,2.24,GR,1604023982
8,kapaa,22.08,-159.32,82.4,58,1,11.41,US,1604023829
9,pierre,44.37,-100.35,37.4,86,90,6.93,US,1604023704
10,nizhniy kuranakh,58.84,125.49,13.08,94,100,0.69,RU,1604023926
11,chuy,-33.7,-53.46,49.46,88,6,6.69,UY,1604023555
12,orbetello,42.44,11.22,48.2,93,0,4.7,IT,1604023983
13,dikson,73.51,80.55,9.1,93,100,25.9,RU,1604023825
14,taoudenni,22.68,-3.98,75.25,19,0,14.63,ML,1604023890
15,east london,-33.02,27.91,62.28,73,100,16.62,ZA,1604023824
16,bubaque,11.28,-15.83,84.2,73,0,10.31,GW,1604023839
17,barrow,71.29,-156.79,21.2,85,75,6.93,US,1604023813
18,tasiilaq,65.61,-37.64,35.6,64,100,24.16,GL,1604023845
19,camacupa,-12.02,17.48,63.16,88,76,0.58,AO,1604023984
20,tooele,40.53,-112.3,48.99,55,1,3.36,US,1604023984
21,varzelandia,-15.7,-44.03,71.85,87,100,3.62,BR,1604023984
22,vila franca do campo,37.72,-25.43,64.4,100,75,16.11,PT,1604023860
23,vaini,-21.2,-175.2,77.0,65,20,9.17,TO,1604023816
24,nikolskoye,59.7,30.79,50.0,93,90,4.47,RU,1604023985
25,hobart,-42.88,147.33,66.0,67,40,17.22,AU,1604023820
26,longyearbyen,78.22,15.64,19.4,57,20,17.22,SJ,1604023809
27,port lincoln,-34.73,135.87,59.16,67,47,19.55,AU,1604023834
28,kavieng,-2.57,150.8,81.25,77,100,8.23,PG,1604023842
29,rangapara,26.82,92.65,74.07,63,0,4.43,IN,1604023986
30,denpasar,-8.65,115.22,85.08,64,87,4.52,ID,1604023876
31,chokurdakh,70.63,147.92,-3.71,93,98,1.72,RU,1604023815
32,nova olinda do norte,-3.89,-59.09,81.12,73,87,2.21,BR,1604023987
33,svetlyy,54.67,20.13,45.0,100,20,8.95,RU,1604023987
34,bethel,41.37,-73.41,44.6,93,90,10.29,US,1604023830
35,torbay,47.67,-52.73,41.0,80,97,4.0,CA,1604023833
36,tuktoyaktuk,69.45,-133.04,5.29,95,25,6.13,CA,1604023815
37,manggar,-2.88,108.27,84.74,72,100,7.38,ID,1604023988
38,albany,42.6,-73.97,42.01,90,100,10.85,US,1604023988
39,hermanus,-34.42,19.23,46.0,87,42,1.01,ZA,1604023837
40,novo aripuana,-5.12,-60.38,73.63,95,94,3.04,BR,1604023989
41,sao filipe,14.9,-24.5,80.24,71,2,7.83,CV,1604023813
42,umm kaddadah,13.6,26.69,80.92,22,0,17.18,SD,1604023989
43,vao,-22.67,167.48,73.94,82,99,18.41,NC,1604023850
44,victoria,22.29,114.16,75.99,78,96,8.16,HK,1604023605
45,north bend,43.41,-124.22,59.0,87,1,8.05,US,1604023746
46,qaanaaq,77.48,-69.36,4.96,71,5,6.29,GL,1604023819
47,pskov,57.81,28.35,48.2,100,100,2.35,RU,1604023990
48,leningradskiy,69.38,178.42,17.29,88,51,13.87,RU,1604023809
49,hilo,19.73,-155.09,80.6,78,90,4.7,US,1604023811
50,fortuna,40.6,-124.16,54.0,100,1,1.23,US,1604023856
51,jamestown,42.1,-79.24,44.01,87,90,8.05,US,1604023990
52,hovd,48.01,91.64,27.84,70,37,8.68,MN,1604023990
53,zabol,32.25,67.25,34.88,80,0,1.45,AF,1604023990
54,narsaq,60.92,-46.05,30.2,86,51,2.24,GL,1604023841
55,mayo,38.89,-76.51,55.0,100,90,8.05,US,1604023991
56,byron bay,-28.65,153.62,84.99,73,0,14.99,AU,1604023991
57,port-gentil,-0.72,8.78,77.61,81,100,0.87,GA,1604023991
58,bageshwar,29.85,79.77,59.52,32,0,2.39,IN,1604023991
59,avarua,-21.21,-159.78,77.0,69,97,11.41,CK,1604023810
60,tulun,54.56,100.58,27.5,91,62,3.89,RU,1604023991
61,butaritari,3.07,172.79,82.04,75,72,11.52,KI,1604023814
62,rikitea,-23.12,-134.97,75.56,73,100,6.73,PF,1604023810
63,praia da vitoria,38.73,-27.07,66.2,93,40,7.45,PT,1604023869
64,saskylakh,71.92,114.08,-0.15,84,47,6.13,RU,1604023834
65,marshall,34.38,-86.33,50.0,75,90,10.29,US,1604023992
66,ankang,32.68,109.02,62.94,61,52,4.5,CN,1604023992
67,caravelas,-17.71,-39.25,76.46,84,100,9.66,BR,1604023754
68,yellowknife,62.46,-114.35,16.0,94,80,3.58,CA,1604023814
69,te anau,-45.42,167.72,57.49,92,100,3.62,NZ,1604023846
70,pingdingshan,33.74,113.3,63.32,66,5,4.81,CN,1604023993
71,bambous virieux,-20.34,57.76,66.99,66,17,5.99,MU,1604023846
72,atuona,-9.8,-139.03,78.15,73,86,15.39,PF,1604023830
73,canaries,28.0,-15.5,69.8,73,20,16.11,ES,1604023993
74,puerto ayora,-0.74,-90.35,69.01,94,100,8.99,EC,1604023813
75,cape town,-33.93,18.42,51.01,75,20,2.24,ZA,1604023802
76,norman wells,65.28,-126.83,8.67,92,38,0.78,CA,1604023826
77,cockburn town,21.46,-71.14,82.42,79,36,17.85,TC,1604023808
78,guerrero negro,27.98,-114.06,68.32,48,0,11.68,MX,1604023884
79,cidreira,-30.18,-50.21,60.51,66,100,9.53,BR,1604023531
80,abapo,-18.83,-63.47,63.91,62,96,2.46,BO,1604023994
81,busselton,-33.65,115.33,82.99,28,0,6.02,AU,1604023774
82,kirakira,-10.45,161.92,81.54,78,100,5.17,SB,1604023994
83,lima,-12.04,-77.03,62.6,82,40,13.87,PE,1604023994
84,olafsvik,64.89,-23.71,42.06,86,100,16.06,IS,1604023994
85,sitka,57.05,-135.33,44.6,81,40,10.29,US,1604023812
86,fontem,5.47,9.88,65.28,91,77,3.2,CM,1604023994
87,port alfred,-33.59,26.89,60.62,67,100,14.27,ZA,1604023551
88,pouebo,-20.4,164.57,81.95,56,92,10.45,NC,1604023995
89,mataura,-46.19,168.86,61.0,91,100,3.0,NZ,1604023995
90,seminole,28.71,-81.21,82.4,69,75,9.17,US,1604023865
91,xapuri,-10.65,-68.5,76.86,82,4,2.57,BR,1604023995
